rounds,nl,sbox_name,hidden_size,avalanche_effect,is_random,plaintext_type,avg_cos,std_cos,bit_acc,avg_bit_acc,word_acc,total_samples
32,4,default_sbox,128,,False,text,0.7060639477669094,0.04304800859866459,49.8,49.80053191489362,0.0,141
32,4,default_sbox,256,,False,text,0.7060486325665436,0.04308282887292354,49.71,49.711879432624116,0.0,141
32,4,default_sbox,512,,False,text,0.7060402540762729,0.04309154136301987,49.58,49.57890070921986,0.0,141
3,0,perfectly_linear,1024,,False,text,0.9927081241189124,0.013975367512482514,99.06,99.05806737588652,72.3404255319149,141
3,0,perfectly_linear,128,,False,text,0.9698377435333367,0.024461257445264697,95.49,95.489804964539,15.602836879432624,141
3,0,perfectly_linear,256,,False,text,0.9875634349379183,0.017708022538578175,98.19,98.19370567375887,53.191489361702125,141
3,0,perfectly_linear,512,,False,text,0.9901430953489121,0.01494772360965968,98.7,98.70345744680851,56.73758865248227,141
3,2,nonlinearity_two,1024,,False,text,0.8992300575335614,0.07189468374706094,85.88,85.88209219858156,1.4184397163120568,141
3,2,nonlinearity_two,128,,False,text,0.8697574368662697,0.05631474805423414,79.57,79.56560283687944,0.0,141
3,2,nonlinearity_two,256,,False,text,0.8834711323258271,0.058572808238498544,82.38,82.38031914893617,0.0,141
3,2,nonlinearity_two,512,,False,text,0.8941028613024556,0.06301541683803909,84.35,84.35283687943263,0.7092198581560284,141
3,4,default_sbox,1024,,False,text,0.8833614393948858,0.07160356463939214,86.14,86.13696808510639,0.0,141
3,4,default_sbox,128,,False,text,0.8518868468455424,0.057232752841645106,80.0,79.99778368794327,0.0,141
3,4,default_sbox,256,,False,text,0.8684221124427163,0.06220495866647833,82.37,82.36923758865248,0.0,141
3,4,default_sbox,512,,False,text,0.8755835563462009,0.06562088127299799,84.31,84.30851063829788,0.7092198581560284,141
4,0,perfectly_linear,1024,,False,text,0.954005222184464,0.030874248381163875,93.43,93.42863475177305,3.546099290780142,141
4,0,perfectly_linear,128,,False,text,0.9452056628139446,0.032051127548975836,92.04,92.04343971631205,2.8368794326241136,141
4,0,perfectly_linear,256,,False,text,0.955367169447459,0.03264448527589058,93.83,93.82757092198581,9.929078014184398,141
4,0,perfectly_linear,512,,False,text,0.9619010728797917,0.030208586810965294,94.77,94.76950354609929,14.184397163120568,141
4,2,nonlinearity_two,1024,,False,text,0.7748540111494867,0.06462627247325288,68.43,68.42863475177305,0.0,141
4,2,nonlinearity_two,128,,False,text,0.7660670424357507,0.052518621067636856,67.63,67.63076241134752,0.0,141
4,2,nonlinearity_two,256,,False,text,0.7732020899082959,0.05898322532866663,68.17,68.17375886524823,0.0,141
4,2,nonlinearity_two,512,,False,text,0.778777649430478,0.06242751445876178,69.16,69.16001773049645,0.0,141
4,4,default_sbox,1024,,False,text,0.7441206438303479,0.06630848290536652,63.86,63.86303191489362,0.0,141
4,4,default_sbox,128,,False,text,0.746966255847552,0.05341757086220061,63.71,63.707890070921984,0.0,141
4,4,default_sbox,256,,False,text,0.7461443690117443,0.05630337771247885,62.83,62.83244680851064,0.0,141
4,4,default_sbox,512,,False,text,0.7471220607309242,0.06496609322659178,63.96,63.962765957446805,0.0,141
5,0,perfectly_linear,1024,,False,text,0.9436837942892198,0.026106676987413844,90.04,90.03767730496453,0.7092198581560284,141
5,0,perfectly_linear,128,,False,text,0.940666208773265,0.025515770614683204,89.54,89.53900709219859,0.0,141
